STATE/UT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING and ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY
ANDHRA PRADESH,2001,2602,1555,136,871,1182,765,417,214
ARUNACHAL PRADESH,2001,83,53,3,33,83,55,28,22
ASSAM,2001,1356,481,40,817,1480,1070,410,532
BIHAR,2001,3643,3419,250,888,2159,518,1641,1291
CHHATTISGARH,2001,880,529,45,959,207,171,36,87
GOA,2001,36,30,5,12,9,6,3,7
GUJARAT,2001,1226,537,94,286,998,857,141,327
HARYANA,2001,781,467,78,398,449,297,152,77
HIMACHAL PRADESH,2001,119,75,11,124,126,105,21,4
JAMMU & KASHMIR,2001,1075,1474,33,169,606,504,102,24
JHARKHAND,2001,1507,866,143,567,441,279,162,636
KARNATAKA,2001,1626,1475,74,293,559,271,288,178
KERALA,2001,472,615,111,562,183,97,86,176
MADHYA PRADESH,2001,2425,2870,125,2851,956,668,288,166
MAHARASHTRA,2001,2839,1454,101,1302,985,611,374,529
MANIPUR,2001,209,168,5,20,94,62,32,20
MEGHALAYA,2001,164,47,2,26,55,11,44,97
MIZORAM,2001,31,15,5,52,2,1,1,3
NAGALAND,2001,101,39,9,17,23,6,17,11
ODISHA,2001,987,1151,53,790,522,434,88,199
PUNJAB,2001,738,789,80,298,513,324,189,45
RAJASTHAN,2001,1259,1923,63,1049,2718,2165,553,60
SIKKIM,2001,19,11,7,8,6,2,4,0
TAMIL NADU,2001,1662,2204,19,423,952,607,345,158
TRIPURA,2001,240,25,0,102,93,35,58,26
UTTAR PRADESH,2001,7601,7964,1186,1958,4330,2879,1451,905
UTTARAKHAND,2001,316,279,38,74,183,126,57,32
WEST BENGAL,2001,1594,449,581,709,875,695,180,274
A & N ISLANDS,2001,13,0,0,3,2,2,0,0
CHANDIGARH,2001,15,10,6,18,56,50,6,5
D & N HAVELI,2001,3,2,0,6,4,2,2,0
DAMAN & DIU,2001,7,5,0,0,5,3,2,0
DELHI UT,2001,547,510,63,381,1627,964,663,48
LAKSHADWEEP,2001,1,0,0,0,0,0,0,0
PUDUCHERRY,2001,25,32,1,9,4,3,1,1
ANDHRA PRADESH,2002,2525,1644,165,1002,1302,854,448,197
ARUNACHAL PRADESH,2002,61,38,6,38,57,38,19,22
ASSAM,2002,1253,479,55,970,1595,1276,319,473
BIHAR,2002,3712,3526,396,1040,2361,744,1617,1289
CHHATTISGARH,2002,844,453,24,992,178,154,24,144
GOA,2002,30,20,4,12,9,5,4,5
GUJARAT,2002,1532,759,13,267,1015,807,208,804
HARYANA,2002,760,487,89,361,427,290,137,61
HIMACHAL PRADESH,2002,123,86,6,137,138,116,22,0
JAMMU & KASHMIR,2002,1048,1240,31,192,674,596,78,42
JHARKHAND,2002,1488,1143,115,797,468,178,290,580
KARNATAKA,2002,1627,1576,55,292,645,300,345,178
KERALA,2002,454,562,210,499,162,91,71,137
MADHYA PRADESH,2002,2395,2864,194,2891,964,639,325,136
MAHARASHTRA,2002,2768,1435,93,1352,953,650,303,548
MANIPUR,2002,165,160,3,14,157,82,75,3
MEGHALAYA,2002,167,58,3,38,52,10,42,64
MIZORAM,2002,29,26,5,76,7,2,5,5
NAGALAND,2002,100,34,5,17,27,4,23,21
ODISHA,2002,1075,1372,58,691,523,432,91,246
PUNJAB,2002,733,728,79,299,551,354,197,50
RAJASTHAN,2002,1276,2043,68,1051,2587,2019,568,47
SIKKIM,2002,13,5,2,6,9,2,7,0
TAMIL NADU,2002,1723,2133,36,534,1001,714,287,176
TRIPURA,2002,201,38,1,108,128,48,80,29
UTTAR PRADESH,2002,6825,6283,1243,1415,3430,2298,1132,552
UTTARAKHAND,2002,292,249,47,89,198,155,43,32
WEST BENGAL,2002,1444,413,540,759,831,694,137,204
A & N ISLANDS,2002,17,3,1,2,2,1,1,1
CHANDIGARH,2002,31,35,7,18,54,47,7,1
D & N HAVELI,2002,11,2,0,4,9,5,4,3
DAMAN & DIU,2002,8,3,0,0,3,2,1,2
DELHI UT,2002,531,440,68,403,1323,893,430,47
LAKSHADWEEP,2002,0,0,0,1,0,0,0,0
PUDUCHERRY,2002,29,43,2,6,10,6,4,2
ANDHRA PRADESH,2003,2667,1678,147,946,1485,931,554,176
ARUNACHAL PRADESH,2003,77,20,3,31,68,51,17,37
ASSAM,2003,1191,485,48,1095,1628,1351,277,471
BIHAR,2003,3771,3540,298,985,2427,674,1753,1221
CHHATTISGARH,2003,776,513,51,898,177,149,28,140
GOA,2003,34,25,6,31,14,13,1,5
GUJARAT,2003,1114,478,29,236,1044,859,185,338
HARYANA,2003,702,446,76,353,388,271,117,63
HIMACHAL PRADESH,2003,125,74,5,126,113,96,17,8
JAMMU & KASHMIR,2003,929,1216,29,211,712,615,97,23
JHARKHAND,2003,1482,957,109,712,487,262,225,702
KARNATAKA,2003,1506,1241,58,321,531,244,287,220
KERALA,2003,435,448,343,394,189,102,87,142
MADHYA PRADESH,2003,2227,2413,203,2738,887,608,279,153
MAHARASHTRA,2003,2772,1412,113,1268,926,626,300,514
MANIPUR,2003,150,199,6,18,120,71,49,3
MEGHALAYA,2003,175,60,17,40,49,10,39,83
MIZORAM,2003,46,36,3,54,8,2,6,5
NAGALAND,2003,91,34,8,14,38,3,35,19
ODISHA,2003,1044,1214,188,725,477,373,104,178
PUNJAB,2003,731,644,89,380,464,295,169,30
RAJASTHAN,2003,1262,1977,61,1050,2238,1750,488,36
SIKKIM,2003,14,7,3,10,0,0,0,2
TAMIL NADU,2003,1591,1843,28,557,879,632,247,95
TRIPURA,2003,254,87,0,114,146,29,117,36
UTTAR PRADESH,2003,5284,3793,1525,911,2208,1499,709,317
UTTARAKHAND,2003,268,236,31,107,171,134,37,26
WEST BENGAL,2003,1425,400,484,1002,902,801,101,217
A & N ISLANDS,2003,21,4,1,2,2,2,0,2
CHANDIGARH,2003,21,15,2,18,32,28,4,3
D & N HAVELI,2003,11,5,0,1,7,4,3,4
DAMAN & DIU,2003,6,3,0,5,1,1,0,4
DELHI UT,2003,485,407,65,490,1156,797,359,28
LAKSHADWEEP,2003,0,0,0,2,0,0,0,0
PUDUCHERRY,2003,29,32,0,2,18,13,5,2
ANDHRA PRADESH,2004,2579,1908,163,1016,1526,1030,496,199
ARUNACHAL PRADESH,2004,67,45,1,42,65,41,24,30
ASSAM,2004,1214,410,63,1171,1906,1552,354,360
BIHAR,2004,3948,2995,280,1390,3413,997,2416,1319
CHHATTISGARH,2004,927,619,25,969,214,174,40,106
GOA,2004,40,6,5,37,13,10,3,5
GUJARAT,2004,1113,469,27,339,1133,905,228,360
HARYANA,2004,733,441,65,386,423,292,131,52
HIMACHAL PRADESH,2004,110,77,12,153,123,99,24,1
JAMMU & KASHMIR,2004,816,1112,29,218,735,632,103,28
JHARKHAND,2004,1488,1143,115,797,468,178,290,580
KARNATAKA,2004,1519,1387,57,291,592,286,306,177
KERALA,2004,417,391,473,480,232,142,90,129
MADHYA PRADESH,2004,2379,2563,188,2875,832,584,248,147
MAHARASHTRA,2004,2696,1463,115,1388,1045,787,258,629
MANIPUR,2004,159,227,3,31,128,71,57,2
MEGHALAYA,2004,124,42,7,54,54,18,36,91
MIZORAM,2004,35,21,2,20,15,0,15,10
NAGALAND,2004,70,33,5,18,23,4,19,14
ODISHA,2004,1066,1197,25,770,526,423,103,238
PUNJAB,2004,775,716,148,390,463,311,152,17
RAJASTHAN,2004,1279,2030,59,1038,2384,1881,503,58
SIKKIM,2004,16,8,3,3,5,4,1,0
TAMIL NADU,2004,1479,1772,26,618,870,692,178,72
TRIPURA,2004,189,36,0,160,99,54,45,27
UTTAR PRADESH,2004,6126,5580,1436,1397,3337,2324,1013,378
UTTARAKHAND,2004,262,247,29,115,213,127,86,37
WEST BENGAL,2004,1425,390,468,1475,1200,1018,182,212
A & N ISLANDS,2004,15,1,2,10,3,3,0,0
CHANDIGARH,2004,22,19,10,19,54,43,11,0
D & N HAVELI,2004,11,4,0,7,12,7,5,3
DAMAN & DIU,2004,3,1,0,1,2,0,2,0
DELHI UT,2004,481,519,80,551,1209,881,328,30
LAKSHADWEEP,2004,0,0,0,0,0,0,0,0
PUDUCHERRY,2004,25,18,14,4,10,8,2,0
ANDHRA PRADESH,2005,2750,1724,111,935,1612,995,617,250
ARUNACHAL PRADESH,2005,81,37,5,35,58,39,19,23
ASSAM,2005,1194,503,117,1238,1751,1456,295,334
BIHAR,2005,3471,3307,259,1147,2693,929,1764,1212
